V1,V2,p
"MZ042364.1 Canis lupus (Gray wolf)","MZ042357.1 Canis latrans (Coyote)",0.996882
"MZ042364.1 Canis lupus (Gray wolf)","MZ042325.1 Canis lupus familiaris (Dog)",0.982678
"MZ042364.1 Canis lupus (Gray wolf)","MZ042323.1 Canis lupus baileyi (Mexican gray wolf)",0.982054
"MZ042364.1 Canis lupus (Gray wolf)","MZ367921.1 Canis rufus (Red wolf)",0.997505
"MZ042364.1 Canis lupus (Gray wolf)","MZ367914.1 Canis lupus lycaon (Eastern Canadian wolf)",0.99657
"MZ042364.1 Canis lupus (Gray wolf)","NC_053974.1 Speothos venaticus (Bush dog)",0.956149
"MZ042364.1 Canis lupus (Gray wolf)","MW257223.1 Otocyon megalotis (Bat-eared fox)",0.946429
"MZ042364.1 Canis lupus (Gray wolf)","MT883492.1 Vulpes lagopus (Arctic fox)",0.936545
"MZ042364.1 Canis lupus (Gray wolf)","MN181407.1 Lycalopex sp. CAN005",0.953383
"MZ042364.1 Canis lupus (Gray wolf)","MN181406.1 Lycalopex sp. CAN003",0.952915
"MZ042364.1 Canis lupus (Gray wolf)","LC520095.1 Canis lupus hodophilax (Japanese wolf)",0.98285
"MZ042364.1 Canis lupus (Gray wolf)","MK948871.1 Canis lupus orion (Greenland wolf)",0.982054
"MZ042364.1 Canis lupus (Gray wolf)","MN122913.1 Vulpes vulpes (Red fox)",0.939975
"MZ042364.1 Canis lupus (Gray wolf)","MH746950.1 Canis lupus lupus (Eurasian wolf)",0.982366
"MZ042364.1 Canis lupus (Gray wolf)","MH035676.1 Canis lupus dingo (Dingo)",0.98221
"MZ042364.1 Canis lupus (Gray wolf)","MG256392.1 Nyctereutes procyonoides (Raccoon dog)",0.936798
"MZ042364.1 Canis lupus (Gray wolf)","CM007595.1 Lycaon pictus (African hunting dog)",0.959738
"MZ042364.1 Canis lupus (Gray wolf)","NC_027956.1 Canis lupaster (African golden wolf)",0.985019
"MZ042364.1 Canis lupus (Gray wolf)","NC_027935.1 Vulpes ferrilata (Tibetan sand fox)",0.937325
"MZ042364.1 Canis lupus (Gray wolf)","KT448284.1 Lycalopex sechurae (Sechura desert fox)",0.954531
"MZ042364.1 Canis lupus (Gray wolf)","KT448282.1 Cuon alpinus (Dhole)",0.962598
"MZ042364.1 Canis lupus (Gray wolf)","KT448280.1 Canis mesomelas (Black-backed jackal)",0.972744
"MZ042364.1 Canis lupus (Gray wolf)","KT448274.1 Canis aureus (Golden jackal)",0.986111
"MZ042364.1 Canis lupus (Gray wolf)","KT448271.1 Canis adustus (Side-striped jackal)",0.941222
"MZ042364.1 Canis lupus (Gray wolf)","NC_026723.1 Urocyon cinereoargenteus (Gray fox)",0.942982
"MZ042364.1 Canis lupus (Gray wolf)","KP129082.1 Urocyon littoralis dickeyi",0.942669
"MZ042364.1 Canis lupus (Gray wolf)","KP129081.1 Urocyon littoralis clementae",0.942356
"MZ042364.1 Canis lupus (Gray wolf)","KP129064.1 Urocyon littoralis catalinae",0.942356
"MZ042364.1 Canis lupus (Gray wolf)","KP129062.1 Urocyon littoralis santacruzae",0.942356
"MZ042364.1 Canis lupus (Gray wolf)","KP129017.1 Urocyon littoralis littoralis",0.942356
"MZ042364.1 Canis lupus (Gray wolf)","KP128993.1 Urocyon littoralis santarosae",0.942356
"MZ042364.1 Canis lupus (Gray wolf)","KJ603240.1 Vulpes zerda (Fennec fox)",0.939819
"MZ042364.1 Canis lupus (Gray wolf)","NC_024172.1 Chrysocyon brachyurus (Maned wolf)",0.956501
"MZ042364.1 Canis lupus (Gray wolf)","KF709435.1 Nyctereutes procyonoides koreensis",0.936174
"MZ042364.1 Canis lupus (Gray wolf)","NC_023958.1 Vulpes corsac (Corsac fox)",0.938167
"MZ042364.1 Canis lupus (Gray wolf)","KF661092.1 Canis sp. Russia/33,500",0.98377
"MZ042364.1 Canis lupus (Gray wolf)","KF661079.1 Canis sp. Belgium/36,000",0.917178
"MZ042364.1 Canis lupus (Gray wolf)","KF646248.1 Cuon alpinus lepturus",0.962563
"MZ042364.1 Canis lupus (Gray wolf)","KF573616.1 Canis lupus laniger (Tibetan wolf)",0.984551
"MZ042364.1 Canis lupus (Gray wolf)","KF387633.1 Vulpes vulpes montana (Hill fox)",0.940911
"MZ042364.1 Canis lupus (Gray wolf)","KC896375.1 Canis lupus campestris (Steppe wolf)",0.982366
"MZ042364.1 Canis lupus (Gray wolf)","KC461238.1 Canis lupus desertorum",0.983146
"MZ042364.1 Canis lupus (Gray wolf)","GQ374438.1 Canis lupus chanco (Mongolian wolf)",0.980805
"MZ042357.1 Canis latrans (Coyote)","MZ042325.1 Canis lupus familiaris (Dog)",0.982678
"MZ042357.1 Canis latrans (Coyote)","MZ042323.1 Canis lupus baileyi (Mexican gray wolf)",0.982054
"MZ042357.1 Canis latrans (Coyote)","MZ367921.1 Canis rufus (Red wolf)",0.999376
"MZ042357.1 Canis latrans (Coyote)","MZ367914.1 Canis lupus lycaon (Eastern Canadian wolf)",0.999065
"MZ042357.1 Canis latrans (Coyote)","NC_053974.1 Speothos venaticus (Bush dog)",0.9549
"MZ042357.1 Canis latrans (Coyote)","MW257223.1 Otocyon megalotis (Bat-eared fox)",0.944862
"MZ042357.1 Canis latrans (Coyote)","MT883492.1 Vulpes lagopus (Arctic fox)",0.937481
"MZ042357.1 Canis latrans (Coyote)","MN181407.1 Lycalopex sp. CAN005",0.952136
"MZ042357.1 Canis latrans (Coyote)","MN181406.1 Lycalopex sp. CAN003",0.951668
"MZ042357.1 Canis latrans (Coyote)","LC520095.1 Canis lupus hodophilax (Japanese wolf)",0.98285
