V1,V2,p
"LC635378.1 Platanista gangetica (Ganges River dolphin)","LC630882.1 Grampus griseus (Risso's dolphin)",0.93162
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_053753.1 Phocoenoides dalli (Dall's porpoise)",0.92757
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_053752.1 Phocoena dioptrica (Spectacled porpoise)",0.928505
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_053751.1 Phocoena sinus (Vaquita)",0.927726
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_053750.1 Phocoena spinipinnis (Burmeister's porpoise)",0.927882
"LC635378.1 Platanista gangetica (Ganges River dolphin)","MW316288.1 Delphinapterus leucas (Beluga whale)",0.932243
"LC635378.1 Platanista gangetica (Ganges River dolphin)","MT948111.1 Phocoena phocoena (Harbor porpoise)",0.92648
"LC635378.1 Platanista gangetica (Ganges River dolphin)","MT948062.1 Neophocaena phocaenoides (Indo-Pacific finless porpoise)",0.930062
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_050265.1 Lagenorhynchus acutus (Atlantic white-sided dolphin)",0.932866
"LC635378.1 Platanista gangetica (Ganges River dolphin)","MT410957.1 Hyperoodon ampullatus (Northern bottlenose whale)",0.936582
"LC635378.1 Platanista gangetica (Ganges River dolphin)","MT410956.1 Stenella coeruleoalba (Striped dolphin)",0.932555
"LC635378.1 Platanista gangetica (Ganges River dolphin)","MT410935.1 Balaenoptera acutorostrata (Minke whale)",0.942523
"LC635378.1 Platanista gangetica (Ganges River dolphin)","MT410921.1 Balaenoptera physalus (Fin whale)",0.940187
"LC635378.1 Platanista gangetica (Ganges River dolphin)","MT410915.1 Delphinus delphis (Saddleback dolphin)",0.934112
"LC635378.1 Platanista gangetica (Ganges River dolphin)","MT410901.1 Lagenorhynchus albirostris (White-beaked dolphin)",0.928816
"LC635378.1 Platanista gangetica (Ganges River dolphin)","MT410874.1 Physeter catodon (Sperm whale)",0.921963
"LC635378.1 Platanista gangetica (Ganges River dolphin)","MT251289.1 Monodon monoceros (Narwhal)",0.932555
"LC635378.1 Platanista gangetica (Ganges River dolphin)","CM022296.1 Tursiops truncatus (Common bottlenose dolphin)",0.933022
"LC635378.1 Platanista gangetica (Ganges River dolphin)","CM018075.1 Balaenoptera musculus (Blue whale)",0.941589
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_045404.1 Sousa teuszii (Atlantic humpbacked dolphin)",0.932243
"LC635378.1 Platanista gangetica (Ganges River dolphin)","MN124685.1 Balaena mysticetus (Bowhead whale)",0.938941
"LC635378.1 Platanista gangetica (Ganges River dolphin)","CM017011.1 Globicephala melas (Long-finned pilot whale)",0.842056
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_042761.1 Steno bredanensis (Rough-toothed dolphin)",0.930218
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_042218.1 Mesoplodon bidens (Sowerby's beaked whale)",0.939893
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_042217.1 Mesoplodon mirus (True's beaked whale)",0.936293
"LC635378.1 Platanista gangetica (Ganges River dolphin)","MK790782.1 Globicephala macrorhynchus (Short-finned pilot whale)",0.931464
"LC635378.1 Platanista gangetica (Ganges River dolphin)","MH992390.1 Lagenorhynchus obliquidens (Pacific white-sided dolphin)",0.934112
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_041303.1 Kogia sima (Dwarf sperm whale)",0.929595
"LC635378.1 Platanista gangetica (Ganges River dolphin)","MH062792.1 Orcinus orca (Killer whale)",0.93162
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_037848.1 Lagenodelphis hosei (Fraser's dolphin)",0.932555
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_037444.1 Eubalaena glacialis (North Atlantic right whale)",0.93676
"LC635378.1 Platanista gangetica (Ganges River dolphin)","MF409249.1 Balaenoptera borealis (Sei whale)",0.939408
"LC635378.1 Platanista gangetica (Ganges River dolphin)","MF409246.1 Megaptera novaeangliae (Humpback whale)",0.941433
"LC635378.1 Platanista gangetica (Ganges River dolphin)","MF409245.1 Eschrichtius robustus (Grey whale)",0.941121
"LC635378.1 Platanista gangetica (Ganges River dolphin)","MG762975.1 Tursiops aduncus (Indo-pacific bottlenose dolphin)",0.942289
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_036997.1 Mesoplodon stejnegeri (Stejneger's beaked whale)",0.936916
"LC635378.1 Platanista gangetica (Ganges River dolphin)","KX650872.1 Neophocaena phocaenoides sunameri",0.930374
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_034348.1 Indopacetus pacificus (Longman's beaked whale)",0.938613
"LC635378.1 Platanista gangetica (Ganges River dolphin)","KU886000.1 Neophocaena asiaeorientalis asiaeorientalis (Yangtze finless porpoise)",0.928816
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_032301.1 Stenella longirostris (Spinner dolphin)",0.932866
"LC635378.1 Platanista gangetica (Ganges River dolphin)","KX857350.1 Stenella attenuata (Bridled dolphin)",0.932243
"LC635378.1 Platanista gangetica (Ganges River dolphin)","LN997430.1 Ziphius cavirostris (Cuvier's beaked whale)",0.940187
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_027593.1 Mesoplodon ginkgodens (Ginkgo-toothed beaked whale)",0.93752
"LC635378.1 Platanista gangetica (Ganges River dolphin)","KM893428.1 Inia geoffrensis (Boutu)",0.903738
"LC635378.1 Platanista gangetica (Ganges River dolphin)","KM893427.1 Orcaella brevirostris (Irrawaddy dolphin)",0.863863
"LC635378.1 Platanista gangetica (Ganges River dolphin)","KM893425.1 Stenella frontalis (Atlantic spotted dolphin)",0.849274
"LC635378.1 Platanista gangetica (Ganges River dolphin)","KM893424.1 Sotalia guianensis (Guyana river dolphin)",0.855296
"LC635378.1 Platanista gangetica (Ganges River dolphin)","KM893423.1 Sotalia fluviatilis (Gray dolphin)",0.919938
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_026456.1 Neophocaena asiaeorientalis (Narrow-ridged finless porpoise)",0.930062
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_023830.1 Mesoplodon grayi (Gray's beaked whale)",0.937832
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_022805.1 Tursiops australis (Burrunan dolphin)",0.931931
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_021974.2 Mesoplodon densirostris (Blainville's beaked whale)",0.936293
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_021434.2 Mesoplodon europaeus (Gervais' beaked whale)",0.936582
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_020696.1 Cephalorhynchus heavisidii (Heaviside's dolphin)",0.930685
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_019591.1 Orcaella heinsohni (Australian snubfin dolphin)",0.93271
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_019589.1 Peponocephala electra (Melon-headed whale)",0.933801
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_019588.1 Feresa attenuata (Pygmy killer whale)",0.931153
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_019577.1 Pseudorca crassidens (False killer whale)",0.932866
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_012061.1 Delphinus capensis (Long-beaked common dolphin)",0.934268
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_012057.1 Sousa chinensis (Indo-pacific humpbacked dolphin)",0.932243
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_007937.1 Balaenoptera omurai (Omura's baleen whale)",0.940498
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_007938.1 Balaenoptera edeni (Pygmy Bryde's whale)",0.938941
"LC635378.1 Platanista gangetica (Ganges River dolphin)","AB201259.1 Balaenoptera brydei (Bryde's whale)",0.941121
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_007629.1 Lipotes vexillifer (Yangtze River dolphin)",0.925545
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_006931.1 Eubalaena japonica (North Pacific right whale)",0.936916
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_006930.1 Eubalaena australis (Southern right whale)",0.937072
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_006926.1 Balaenoptera bonaerensis (Antarctic minke whale)",0.942523
"LC635378.1 Platanista gangetica (Ganges River dolphin)","AP006475.1 Caperea marginata (Pygmy right whale)",0.938941
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_005275.1 Platanista minor (Indus River dolphin)",0.998754
"LC635378.1 Platanista gangetica (Ganges River dolphin)","NC_005274.1 Berardius bairdii (Baird's beaked whale)",0.935047
