V1,V2,p
"MZ042364.1 Canis lupus (Gray wolf)","MZ042357.1 Canis latrans (Coyote)",0.996882
"MZ042364.1 Canis lupus (Gray wolf)","MZ042325.1 Canis lupus familiaris (Dog)",0.982678
"MZ042364.1 Canis lupus (Gray wolf)","MZ042323.1 Canis lupus baileyi (Mexican gray wolf)",0.982054
"MZ042364.1 Canis lupus (Gray wolf)","MZ367921.1 Canis rufus (Red wolf)",0.997505
"MZ042364.1 Canis lupus (Gray wolf)","MZ367914.1 Canis lupus lycaon (Eastern Canadian wolf)",0.99657
"MZ042364.1 Canis lupus (Gray wolf)","LC520095.1 Canis lupus hodophilax (Japanese wolf)",0.98285
"MZ042364.1 Canis lupus (Gray wolf)","MK948871.1 Canis lupus orion (Greenland wolf)",0.982054
"MZ042364.1 Canis lupus (Gray wolf)","MH746950.1 Canis lupus lupus (Eurasian wolf)",0.982366
"MZ042364.1 Canis lupus (Gray wolf)","MH035676.1 Canis lupus dingo (Dingo)",0.98221
"MZ042364.1 Canis lupus (Gray wolf)","NC_027956.1 Canis lupaster (African golden wolf)",0.985019
"MZ042364.1 Canis lupus (Gray wolf)","KT448280.1 Canis mesomelas (Black-backed jackal)",0.972744
"MZ042364.1 Canis lupus (Gray wolf)","KT448274.1 Canis aureus (Golden jackal)",0.986111
"MZ042364.1 Canis lupus (Gray wolf)","KT448271.1 Canis adustus (Side-striped jackal)",0.941222
"MZ042364.1 Canis lupus (Gray wolf)","KF661092.1 Canis sp. Russia/33,500",0.98377
"MZ042364.1 Canis lupus (Gray wolf)","KF661079.1 Canis sp. Belgium/36,000",0.917178
"MZ042364.1 Canis lupus (Gray wolf)","KF573616.1 Canis lupus laniger (Tibetan wolf)",0.984551
"MZ042364.1 Canis lupus (Gray wolf)","KC896375.1 Canis lupus campestris (Steppe wolf)",0.982366
"MZ042364.1 Canis lupus (Gray wolf)","KC461238.1 Canis lupus desertorum",0.983146
"MZ042364.1 Canis lupus (Gray wolf)","GQ374438.1 Canis lupus chanco (Mongolian wolf)",0.980805
"MZ042357.1 Canis latrans (Coyote)","MZ042325.1 Canis lupus familiaris (Dog)",0.982678
"MZ042357.1 Canis latrans (Coyote)","MZ042323.1 Canis lupus baileyi (Mexican gray wolf)",0.982054
"MZ042357.1 Canis latrans (Coyote)","MZ367921.1 Canis rufus (Red wolf)",0.999376
"MZ042357.1 Canis latrans (Coyote)","MZ367914.1 Canis lupus lycaon (Eastern Canadian wolf)",0.999065
"MZ042357.1 Canis latrans (Coyote)","LC520095.1 Canis lupus hodophilax (Japanese wolf)",0.98285
"MZ042357.1 Canis latrans (Coyote)","MK948871.1 Canis lupus orion (Greenland wolf)",0.982054
"MZ042357.1 Canis latrans (Coyote)","MH746950.1 Canis lupus lupus (Eurasian wolf)",0.982366
"MZ042357.1 Canis latrans (Coyote)","MH035676.1 Canis lupus dingo (Dingo)",0.982366
"MZ042357.1 Canis latrans (Coyote)","NC_027956.1 Canis lupaster (African golden wolf)",0.985643
"MZ042357.1 Canis latrans (Coyote)","KT448280.1 Canis mesomelas (Black-backed jackal)",0.972588
"MZ042357.1 Canis latrans (Coyote)","KT448274.1 Canis aureus (Golden jackal)",0.98736
"MZ042357.1 Canis latrans (Coyote)","KT448271.1 Canis adustus (Side-striped jackal)",0.942002
"MZ042357.1 Canis latrans (Coyote)","KF661092.1 Canis sp. Russia/33,500",0.98377
"MZ042357.1 Canis latrans (Coyote)","KF661079.1 Canis sp. Belgium/36,000",0.916769
"MZ042357.1 Canis latrans (Coyote)","KF573616.1 Canis lupus laniger (Tibetan wolf)",0.984551
"MZ042357.1 Canis latrans (Coyote)","KC896375.1 Canis lupus campestris (Steppe wolf)",0.982366
"MZ042357.1 Canis latrans (Coyote)","KC461238.1 Canis lupus desertorum",0.982522
"MZ042357.1 Canis latrans (Coyote)","GQ374438.1 Canis lupus chanco (Mongolian wolf)",0.981117
"MZ042325.1 Canis lupus familiaris (Dog)","MZ042323.1 Canis lupus baileyi (Mexican gray wolf)",0.998439
"MZ042325.1 Canis lupus familiaris (Dog)","MZ367921.1 Canis rufus (Red wolf)",0.983302
"MZ042325.1 Canis lupus familiaris (Dog)","MZ367914.1 Canis lupus lycaon (Eastern Canadian wolf)",0.982366
"MZ042325.1 Canis lupus familiaris (Dog)","LC520095.1 Canis lupus hodophilax (Japanese wolf)",0.996723
"MZ042325.1 Canis lupus familiaris (Dog)","MK948871.1 Canis lupus orion (Greenland wolf)",0.999376
"MZ042325.1 Canis lupus familiaris (Dog)","MH746950.1 Canis lupus lupus (Eurasian wolf)",0.999688
"MZ042325.1 Canis lupus familiaris (Dog)","MH035676.1 Canis lupus dingo (Dingo)",0.996099
"MZ042325.1 Canis lupus familiaris (Dog)","NC_027956.1 Canis lupaster (African golden wolf)",0.987516
"MZ042325.1 Canis lupus familiaris (Dog)","KT448280.1 Canis mesomelas (Black-backed jackal)",0.972744
"MZ042325.1 Canis lupus familiaris (Dog)","KT448274.1 Canis aureus (Golden jackal)",0.984707
"MZ042325.1 Canis lupus familiaris (Dog)","KT448271.1 Canis adustus (Side-striped jackal)",0.939763
"MZ042325.1 Canis lupus familiaris (Dog)","KF661092.1 Canis sp. Russia/33,500",0.998283
"MZ042325.1 Canis lupus familiaris (Dog)","KF661079.1 Canis sp. Belgium/36,000",0.92454
"MZ042325.1 Canis lupus familiaris (Dog)","KF573616.1 Canis lupus laniger (Tibetan wolf)",0.988608
"MZ042325.1 Canis lupus familiaris (Dog)","KC896375.1 Canis lupus campestris (Steppe wolf)",0.999064
"MZ042325.1 Canis lupus familiaris (Dog)","KC461238.1 Canis lupus desertorum",0.998752
