V1,V2,p
"LC595633.1 Ursus arctos (Brown bear)","MW556430.1 Tremarctos ornatus (Spectacled bear)",0.882962
"LC595633.1 Ursus arctos (Brown bear)","MW491935.1 Ursus kudarensis praekudarensis (Caucasian cave bear)",0.904138
"LC595633.1 Ursus arctos (Brown bear)","MW491934.1 Ursus kudarensis kudarensis",0.917232
"LC595633.1 Ursus arctos (Brown bear)","MW491933.1 Ursus rossicus (Small cave bear)",0.916747
"LC595633.1 Ursus arctos (Brown bear)","MW491932.1 Ursus kanivetz",0.914484
"LC595633.1 Ursus arctos (Brown bear)","CM029679.1 Ursus maritimus (Polar bear)",0.814905
"LC595633.1 Ursus arctos (Brown bear)","MW257206.1 Ursus arctos isabellinus (Himalayan brown bear)",0.92677
"LC595633.1 Ursus arctos (Brown bear)","MN935768.1 Ursus thibetanus laniger",0.908341
"LC595633.1 Ursus arctos (Brown bear)","MN311250.1 Ursus ingressus (Gamssulzen cave bear)",0.913353
"LC595633.1 Ursus arctos (Brown bear)","MH931229.1 Melursus ursinus (Sloth bear)",0.90042
"LC595633.1 Ursus arctos (Brown bear)","KT964290.1 Ursus thibetanus (Asiatic black bear)",0.908018
"LC595633.1 Ursus arctos (Brown bear)","MH605139.1 Ursus kudarensis (Kudaro cave bear)",0.917232
"LC595633.1 Ursus arctos (Brown bear)","MH102403.1 Ailuropoda melanoleuca (Giant panda)",0.880375
"LC595633.1 Ursus arctos (Brown bear)","MG066703.1 Ursus arctos pruinosus",0.93162
"LC595633.1 Ursus arctos (Brown bear)","KX641337.1 Ursus spelaeus (Cave bear)",0.914808
"LC595633.1 Ursus arctos (Brown bear)","NC_030174.1 Arctotherium sp.",0.889428
"LC595633.1 Ursus arctos (Brown bear)","AB863014.1 Ursus thibetanus japonicus (Japanese black bear)",0.905432
"LC595633.1 Ursus arctos (Brown bear)","KM257060.1 Ursus americanus (American black bear)",0.90624
"LC595633.1 Ursus arctos (Brown bear)","KF437625.2 Ursus deningeri (Deninger's bear)",0.914808
"LC595633.1 Ursus arctos (Brown bear)","EF667005.1 Ursus thibetanus ussuricus (Manchurian black bear)",0.907856
"LC595633.1 Ursus arctos (Brown bear)","NC_011118.1 Ursus thibetanus thibetanus",0.908503
"LC595633.1 Ursus arctos (Brown bear)","NC_011116.1 Arctodus simus (Giant short-faced bear)",0.888943
"LC595633.1 Ursus arctos (Brown bear)","FM177765.1 Helarctos malayanus (Malayan sun bear)",0.903168
"LC595633.1 Ursus arctos (Brown bear)","NC_009331.1 Ursus thibetanus formosanus (Formosan black bear)",0.907371
"LC595633.1 Ursus arctos (Brown bear)","NC_008753.1 Ursus thibetanus mupinensis",0.908988
"MW556430.1 Tremarctos ornatus (Spectacled bear)","MW491935.1 Ursus kudarensis praekudarensis (Caucasian cave bear)",0.925909
"MW556430.1 Tremarctos ornatus (Spectacled bear)","MW491934.1 Ursus kudarensis kudarensis",0.939112
"MW556430.1 Tremarctos ornatus (Spectacled bear)","MW491933.1 Ursus rossicus (Small cave bear)",0.939888
"MW556430.1 Tremarctos ornatus (Spectacled bear)","MW491932.1 Ursus kanivetz",0.939153
"MW556430.1 Tremarctos ornatus (Spectacled bear)","CM029679.1 Ursus maritimus (Polar bear)",0.836326
