V1,V2,p
"MW257216.1 Panthera leo (Lion)","MW257210.1 Prionailurus bengalensis (Leopard cat)",0.949005
"MW257216.1 Panthera leo (Lion)","MW257208.1 Leopardus pardalis (Ocelot)",0.950404
"MW257216.1 Panthera leo (Lion)","MW257207.1 Pardofelis marmorata (Marbled cat)",0.948072
"MW257216.1 Panthera leo (Lion)","MT499915.1 Felis catus (Domestic cat)",0.951182
"MW257216.1 Panthera leo (Lion)","MH706704.1 Lynx lynx (Eurasian lynx)",0.953825
"MW257216.1 Panthera leo (Lion)","MK469963.1 Acinonyx jubatus venaticus (Asiatic cheetah)",0.996139
"MW257216.1 Panthera leo (Lion)","MK469962.1 Acinonyx jubatus jubatus",0.963983
"MW257216.1 Panthera leo (Lion)","MK469961.1 Acinonyx jubatus soemmeringii (Northeast African cheetah)",0.950715
"MW257216.1 Panthera leo (Lion)","LC375963.1 Prionailurus iriomotensis (Iriomote cat)",0.950249
"MW257216.1 Panthera leo (Lion)","LC375961.1 Prionailurus bengalensis euptilurus (Amur leopard cat)",0.95056
"MW257216.1 Panthera leo (Lion)","MN624080.1 Panthera tigris altaica (Amur tiger)",0.958489
"MW257216.1 Panthera leo (Lion)","MH978908.1 Otocolobus manul (Pallas's cat)",0.947606
"MW257216.1 Panthera leo (Lion)","MK043027.1 Panthera pardus (Leopard)",0.973103
"MW257216.1 Panthera leo (Lion)","CM017348.2 Lynx canadensis (Canada lynx)",0.949316
"MW257216.1 Panthera leo (Lion)","MH818222.1 Puma concolor (Puma)",0.951493
"MW257216.1 Panthera leo (Lion)","KY682747.1 Prionailurus planiceps (Flat-headed cat)",0.951026
"MW257216.1 Panthera leo (Lion)","MF871703.1 Homotherium latidens (European saber-tooth cat)",0.834888
"MW257216.1 Panthera leo (Lion)","MF871700.1 Smilodon populator (Greater saber-toothed cat)",0.920553
"MW257216.1 Panthera leo (Lion)","KX911412.1 Lynx pardinus (Spanish lynx)",0.950249
"MW257216.1 Panthera leo (Lion)","KU234271.1 Panthera leo persica (Asiatic lion)",0.99518
"MW257216.1 Panthera leo (Lion)","KU133958.1 Neofelis nebulosa (Clouded leopard)",0.952425
"MW257216.1 Panthera leo (Lion)","KX265095.1 Catopuma badia (Bay cat)",0.94916
"MW257216.1 Panthera leo (Lion)","KX224524.1 Catopuma temminckii (Asiatic golden cat)",0.948072
"MW257216.1 Panthera leo (Lion)","KR135744.1 Prionailurus rubiginosus (Rusty-spotted cat)",0.949627
"MW257216.1 Panthera leo (Lion)","KR135742.1 Prionailurus viverrinus (Fishing cat)",0.947917
"MW257216.1 Panthera leo (Lion)","KX655614.1 Panthera pardus orientalis (Amur leopard)",0.974852
"MW257216.1 Panthera leo (Lion)","KX258452.1 Panthera spelaea (Eurasian cave lion)",0.987251
"MW257216.1 Panthera leo (Lion)","NC_028322.1 Leopardus jacobita (Andean mountain cat)",0.946984
"MW257216.1 Panthera leo (Lion)","NC_028321.1 Leopardus guigna (Kodkod)",0.945429
"MW257216.1 Panthera leo (Lion)","NC_028320.1 Leopardus geoffroyi (Geoffroy's cat)",0.946051
"MW257216.1 Panthera leo (Lion)","NC_028318.1 Leopardus wiedii (Margay)",0.94916
"MW257216.1 Panthera leo (Lion)","NC_028317.1 Leopardus tigrinus (Little spotted cat)",0.94885
"MW257216.1 Panthera leo (Lion)","NC_028316.1 Leptailurus serval (Serval)",0.948694
"MW257216.1 Panthera leo (Lion)","NC_028314.1 Leopardus colocolo (Colocolo)",0.948228
"MW257216.1 Panthera leo (Lion)","NC_028311.1 Puma yagouaroundi (Jaguarundi)",0.95227
"MW257216.1 Panthera leo (Lion)","NC_028310.1 Felis silvestris (Wild cat)",0.951337
"MW257216.1 Panthera leo (Lion)","NC_028309.1 Felis nigripes (Black-footed cat)",0.95056
"MW257216.1 Panthera leo (Lion)","NC_028308.1 Felis margarita (Sand cat)",0.949594
"MW257216.1 Panthera leo (Lion)","NC_028307.1 Felis chaus (Jungle cat)",0.948228
"MW257216.1 Panthera leo (Lion)","NC_028306.1 Caracal caracal (Caracal)",0.947606
"MW257216.1 Panthera leo (Lion)","NC_028299.1 Profelis aurata (African golden cat)",0.944444
"MW257216.1 Panthera leo (Lion)","KP202285.1 Lynx rufus (Bobcat)",0.946362
"MW257216.1 Panthera leo (Lion)","KP202275.1 Felis silvestris lybica (Near Eastern wildcat)",0.951493
"MW257216.1 Panthera leo (Lion)","KP202273.1 Felis silvestris bieti (Chinese desert cat)",0.951803
"MW257216.1 Panthera leo (Lion)","KP202271.1 Acinonyx jubatus (Cheetah)",0.951182
"MW257216.1 Panthera leo (Lion)","KP202269.1 Panthera uncia (Snow leopard)",0.972637
"MW257216.1 Panthera leo (Lion)","KP202268.1 Panthera tigris (Tiger)",0.96051
"MW257216.1 Panthera leo (Lion)","KP202264.1 Panthera onca (Jaguar)",0.966542
"MW257216.1 Panthera leo (Lion)","KJ866876.1 Panthera pardus japonensis",0.975453
"MW257216.1 Panthera leo (Lion)","KF907306.1 Panthera leo leo",0.973602
"MW257216.1 Panthera leo (Lion)","KF892541.1 Panthera tigris tigris (Bengal tiger)",0.960665
"MW257216.1 Panthera leo (Lion)","JF357971.1 Panthera tigris corbetti (Indochinese tiger)",0.960354
"MW257216.1 Panthera leo (Lion)","JF357970.1 Panthera tigris sumatrae (Sumatran tiger)",0.960976
"MW257216.1 Panthera leo (Lion)","NC_014770.1 Panthera tigris amoyensis (Amoy tiger)",0.971393
"MW257210.1 Prionailurus bengalensis (Leopard cat)","MW257208.1 Leopardus pardalis (Ocelot)",0.959577
"MW257210.1 Prionailurus bengalensis (Leopard cat)","MW257207.1 Pardofelis marmorata (Marbled cat)",0.954842
"MW257210.1 Prionailurus bengalensis (Leopard cat)","MT499915.1 Felis catus (Domestic cat)",0.965174
"MW257210.1 Prionailurus bengalensis (Leopard cat)","MH706704.1 Lynx lynx (Eurasian lynx)",0.960848
"MW257210.1 Prionailurus bengalensis (Leopard cat)","MK469963.1 Acinonyx jubatus venaticus (Asiatic cheetah)",0.996139
"MW257210.1 Prionailurus bengalensis (Leopard cat)","MK469962.1 Acinonyx jubatus jubatus",0.969868
"MW257210.1 Prionailurus bengalensis (Leopard cat)","MK469961.1 Acinonyx jubatus soemmeringii (Northeast African cheetah)",0.957751
"MW257210.1 Prionailurus bengalensis (Leopard cat)","LC375963.1 Prionailurus iriomotensis (Iriomote cat)",0.997214
"MW257210.1 Prionailurus bengalensis (Leopard cat)","LC375961.1 Prionailurus bengalensis euptilurus (Amur leopard cat)",0.997524
"MW257210.1 Prionailurus bengalensis (Leopard cat)","MN624080.1 Panthera tigris altaica (Amur tiger)",0.945429
"MW257210.1 Prionailurus bengalensis (Leopard cat)","MH978908.1 Otocolobus manul (Pallas's cat)",0.959652
"MW257210.1 Prionailurus bengalensis (Leopard cat)","MK043027.1 Panthera pardus (Leopard)",0.950715
"MW257210.1 Prionailurus bengalensis (Leopard cat)","CM017348.2 Lynx canadensis (Canada lynx)",0.960857
"MW257210.1 Prionailurus bengalensis (Leopard cat)","MH818222.1 Puma concolor (Puma)",0.961013
"MW257210.1 Prionailurus bengalensis (Leopard cat)","KY682747.1 Prionailurus planiceps (Flat-headed cat)",0.979011
"MW257210.1 Prionailurus bengalensis (Leopard cat)","MF871703.1 Homotherium latidens (European saber-tooth cat)",0.838595
"MW257210.1 Prionailurus bengalensis (Leopard cat)","MF871700.1 Smilodon populator (Greater saber-toothed cat)",0.924482
"MW257210.1 Prionailurus bengalensis (Leopard cat)","KX911412.1 Lynx pardinus (Spanish lynx)",0.959925
"MW257210.1 Prionailurus bengalensis (Leopard cat)","KU234271.1 Panthera leo persica (Asiatic lion)",0.948694
"MW257210.1 Prionailurus bengalensis (Leopard cat)","KU133958.1 Neofelis nebulosa (Clouded leopard)",0.946406
"MW257210.1 Prionailurus bengalensis (Leopard cat)","KX265095.1 Catopuma badia (Bay cat)",0.961789
"MW257210.1 Prionailurus bengalensis (Leopard cat)","KX224524.1 Catopuma temminckii (Asiatic golden cat)",0.957285
"MW257210.1 Prionailurus bengalensis (Leopard cat)","KR135744.1 Prionailurus rubiginosus (Rusty-spotted cat)",0.976701
"MW257210.1 Prionailurus bengalensis (Leopard cat)","KR135742.1 Prionailurus viverrinus (Fishing cat)",0.984947
"MW257210.1 Prionailurus bengalensis (Leopard cat)","KX655614.1 Panthera pardus orientalis (Amur leopard)",0.952202
"MW257210.1 Prionailurus bengalensis (Leopard cat)","KX258452.1 Panthera spelaea (Eurasian cave lion)",0.949627
"MW257210.1 Prionailurus bengalensis (Leopard cat)","NC_028322.1 Leopardus jacobita (Andean mountain cat)",0.956859
"MW257210.1 Prionailurus bengalensis (Leopard cat)","NC_028321.1 Leopardus guigna (Kodkod)",0.953953
"MW257210.1 Prionailurus bengalensis (Leopard cat)","NC_028320.1 Leopardus geoffroyi (Geoffroy's cat)",0.955421
"MW257210.1 Prionailurus bengalensis (Leopard cat)","NC_028318.1 Leopardus wiedii (Margay)",0.958955
"MW257210.1 Prionailurus bengalensis (Leopard cat)","NC_028317.1 Leopardus tigrinus (Little spotted cat)",0.953557
"MW257210.1 Prionailurus bengalensis (Leopard cat)","NC_028316.1 Leptailurus serval (Serval)",0.962687
"MW257210.1 Prionailurus bengalensis (Leopard cat)","NC_028314.1 Leopardus colocolo (Colocolo)",0.95779
"MW257210.1 Prionailurus bengalensis (Leopard cat)","NC_028311.1 Puma yagouaroundi (Jaguarundi)",0.964119
"MW257210.1 Prionailurus bengalensis (Leopard cat)","NC_028310.1 Felis silvestris (Wild cat)",0.966418
"MW257210.1 Prionailurus bengalensis (Leopard cat)","NC_028309.1 Felis nigripes (Black-footed cat)",0.961634
"MW257210.1 Prionailurus bengalensis (Leopard cat)","NC_028308.1 Felis margarita (Sand cat)",0.9652
