V1,V2,p
"LC595633.1 Ursus arctos (Brown bear)","MW491935.1 Ursus kudarensis praekudarensis (Caucasian cave bear)",0.904138
"LC595633.1 Ursus arctos (Brown bear)","MW491934.1 Ursus kudarensis kudarensis",0.917232
"LC595633.1 Ursus arctos (Brown bear)","MW491933.1 Ursus rossicus (Small cave bear)",0.916747
"LC595633.1 Ursus arctos (Brown bear)","MW491932.1 Ursus kanivetz",0.914484
"LC595633.1 Ursus arctos (Brown bear)","CM029679.1 Ursus maritimus (Polar bear)",0.814905
"LC595633.1 Ursus arctos (Brown bear)","MW257206.1 Ursus arctos isabellinus (Himalayan brown bear)",0.92677
"LC595633.1 Ursus arctos (Brown bear)","MN935768.1 Ursus thibetanus laniger",0.908341
"LC595633.1 Ursus arctos (Brown bear)","MN311250.1 Ursus ingressus (Gamssulzen cave bear)",0.913353
"LC595633.1 Ursus arctos (Brown bear)","KT964290.1 Ursus thibetanus (Asiatic black bear)",0.908018
"LC595633.1 Ursus arctos (Brown bear)","MH605139.1 Ursus kudarensis (Kudaro cave bear)",0.917232
"LC595633.1 Ursus arctos (Brown bear)","MG066703.1 Ursus arctos pruinosus",0.93162
"LC595633.1 Ursus arctos (Brown bear)","KX641337.1 Ursus spelaeus (Cave bear)",0.914808
"LC595633.1 Ursus arctos (Brown bear)","AB863014.1 Ursus thibetanus japonicus (Japanese black bear)",0.905432
"LC595633.1 Ursus arctos (Brown bear)","KM257060.1 Ursus americanus (American black bear)",0.90624
"LC595633.1 Ursus arctos (Brown bear)","KF437625.2 Ursus deningeri (Deninger's bear)",0.914808
"LC595633.1 Ursus arctos (Brown bear)","EF667005.1 Ursus thibetanus ussuricus (Manchurian black bear)",0.907856
"LC595633.1 Ursus arctos (Brown bear)","NC_011118.1 Ursus thibetanus thibetanus",0.908503
"LC595633.1 Ursus arctos (Brown bear)","NC_009331.1 Ursus thibetanus formosanus (Formosan black bear)",0.907371
"LC595633.1 Ursus arctos (Brown bear)","NC_008753.1 Ursus thibetanus mupinensis",0.908988
"MW491935.1 Ursus kudarensis praekudarensis (Caucasian cave bear)","MW491934.1 Ursus kudarensis kudarensis",0.979205
"MW491935.1 Ursus kudarensis praekudarensis (Caucasian cave bear)","MW491933.1 Ursus rossicus (Small cave bear)",0.972222
"MW491935.1 Ursus kudarensis praekudarensis (Caucasian cave bear)","MW491932.1 Ursus kanivetz",0.971366
"MW491935.1 Ursus kudarensis praekudarensis (Caucasian cave bear)","CM029679.1 Ursus maritimus (Polar bear)",0.834751
"MW491935.1 Ursus kudarensis praekudarensis (Caucasian cave bear)","MW257206.1 Ursus arctos isabellinus (Himalayan brown bear)",0.963687
"MW491935.1 Ursus kudarensis praekudarensis (Caucasian cave bear)","MN935768.1 Ursus thibetanus laniger",0.950606
"MW491935.1 Ursus kudarensis praekudarensis (Caucasian cave bear)","MN311250.1 Ursus ingressus (Gamssulzen cave bear)",0.968498
"MW491935.1 Ursus kudarensis praekudarensis (Caucasian cave bear)","KT964290.1 Ursus thibetanus (Asiatic black bear)",0.947965
"MW491935.1 Ursus kudarensis praekudarensis (Caucasian cave bear)","MH605139.1 Ursus kudarensis (Kudaro cave bear)",0.979205
"MW491935.1 Ursus kudarensis praekudarensis (Caucasian cave bear)","MG066703.1 Ursus arctos pruinosus",0.964773
"MW491935.1 Ursus kudarensis praekudarensis (Caucasian cave bear)","KX641337.1 Ursus spelaeus (Cave bear)",0.969739
"MW491935.1 Ursus kudarensis praekudarensis (Caucasian cave bear)","AB863014.1 Ursus thibetanus japonicus (Japanese black bear)",0.948742
"MW491935.1 Ursus kudarensis praekudarensis (Caucasian cave bear)","KM257060.1 Ursus americanus (American black bear)",0.948945
"MW491935.1 Ursus kudarensis praekudarensis (Caucasian cave bear)","KF437625.2 Ursus deningeri (Deninger's bear)",0.971912
"MW491935.1 Ursus kudarensis praekudarensis (Caucasian cave bear)","EF667005.1 Ursus thibetanus ussuricus (Manchurian black bear)",0.947965
"MW491935.1 Ursus kudarensis praekudarensis (Caucasian cave bear)","NC_011118.1 Ursus thibetanus thibetanus",0.948276
"MW491935.1 Ursus kudarensis praekudarensis (Caucasian cave bear)","NC_009331.1 Ursus thibetanus formosanus (Formosan black bear)",0.949053
"MW491935.1 Ursus kudarensis praekudarensis (Caucasian cave bear)","NC_008753.1 Ursus thibetanus mupinensis",0.94879
"MW491934.1 Ursus kudarensis kudarensis","MW491933.1 Ursus rossicus (Small cave bear)",0.985413
"MW491934.1 Ursus kudarensis kudarensis","MW491932.1 Ursus kanivetz",0.985216
"MW491934.1 Ursus kudarensis kudarensis","CM029679.1 Ursus maritimus (Polar bear)",0.838689
"MW491934.1 Ursus kudarensis kudarensis","MW257206.1 Ursus arctos isabellinus (Himalayan brown bear)",0.978895
"MW491934.1 Ursus kudarensis kudarensis","MN935768.1 Ursus thibetanus laniger",0.966605
"MW491934.1 Ursus kudarensis kudarensis","MN311250.1 Ursus ingressus (Gamssulzen cave bear)",0.981688
"MW491934.1 Ursus kudarensis kudarensis","KT964290.1 Ursus thibetanus (Asiatic black bear)",0.963809
"MW491934.1 Ursus kudarensis kudarensis","MH605139.1 Ursus kudarensis (Kudaro cave bear)",1
"MW491934.1 Ursus kudarensis kudarensis","MG066703.1 Ursus arctos pruinosus",0.97874
