V1,V2,p
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","MN935779.1 Spermophilus citellus (European suslik)",0.962477
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","MN935776.1 Marmota marmota marmota (Alpine marmot)",0.953755
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","CM025523.1 Marmota monax (Woodchuck)",0.952715
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)",0.956001
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","MK305281.1 Marmota himalayana (Himalayan marmot)",0.958489
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)",0.959266
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","MG450794.1 Cynomys gunnisoni gunnisoni",0.963532
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)",0.92584
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","KP708706.1 Spermophilus dauricus (Daurian ground squirrel)",0.959032
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","NC_032375.1 Tamias striatus (Eastern chipmunk)",0.938588
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","NC_032373.1 Tamias dorsalis (Cliff chipmunk)",0.935444
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","NC_032372.1 Tamias canipes (Gray-footed chipmunk)",0.937616
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","NC_032371.1 Tamias rufus (Hopi chipmunk)",0.938237
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","NC_032370.1 Tamias quadrivittatus (Colorado chipmunk)",0.93585
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","NC_032376.1 Tamias umbrinus (Uinta chipmunk)",0.937927
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","NC_032374.1 Tamias cinereicollis (Gray-collared chipmunk)",0.934823
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","KY070177.1 Tamias ruficaudus simulans",0.935599
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","KY070171.1 Tamias amoenus canicaudus",0.935047
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","KY070168.1 Tamias ruficaudus ruficaudus",0.935909
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","KY070157.1 Tamias amoenus luteiventris",0.929397
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","NC_031210.1 Callospermophilus lateralis (Golden-mantled ground squirrel)",0.950733
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","NC_031209.1 Urocitellus richardsonii (Richardson's ground squirrel)",0.993017
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","NC_027278.1 Ictidomys tridecemlineatus (Thirteen-lined ground squirrel)",0.965453
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","NC_026706.1 Cynomys ludovicianus (Black-tailed prairie dog)",0.962911
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","NC_026705.1 Cynomys leucurus (White-tailed prairie dog)",0.963153
"MN935780.1 Urocitellus parryii (Arctic ground squirrel)","NC_025277.1 Tamias sibiricus (Siberian chipmunk)",0.934918
"MN935779.1 Spermophilus citellus (European suslik)","MN935776.1 Marmota marmota marmota (Alpine marmot)",0.963102
"MN935779.1 Spermophilus citellus (European suslik)","CM025523.1 Marmota monax (Woodchuck)",0.960444
"MN935779.1 Spermophilus citellus (European suslik)","NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)",0.962008
"MN935779.1 Spermophilus citellus (European suslik)","MK305281.1 Marmota himalayana (Himalayan marmot)",0.964665
"MN935779.1 Spermophilus citellus (European suslik)","NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)",0.966698
"MN935779.1 Spermophilus citellus (European suslik)","MG450794.1 Cynomys gunnisoni gunnisoni",0.960444
"MN935779.1 Spermophilus citellus (European suslik)","KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)",0.924171
"MN935779.1 Spermophilus citellus (European suslik)","KP708706.1 Spermophilus dauricus (Daurian ground squirrel)",0.969356
"MN935779.1 Spermophilus citellus (European suslik)","NC_032375.1 Tamias striatus (Eastern chipmunk)",0.93277
"MN935779.1 Spermophilus citellus (European suslik)","NC_032373.1 Tamias dorsalis (Cliff chipmunk)",0.933396
"MN935779.1 Spermophilus citellus (European suslik)","NC_032372.1 Tamias canipes (Gray-footed chipmunk)",0.936054
"MN935779.1 Spermophilus citellus (European suslik)","NC_032371.1 Tamias rufus (Hopi chipmunk)",0.936366
"MN935779.1 Spermophilus citellus (European suslik)","NC_032370.1 Tamias quadrivittatus (Colorado chipmunk)",0.936054
"MN935779.1 Spermophilus citellus (European suslik)","NC_032376.1 Tamias umbrinus (Uinta chipmunk)",0.935741
"MN935779.1 Spermophilus citellus (European suslik)","NC_032374.1 Tamias cinereicollis (Gray-collared chipmunk)",0.93277
"MN935779.1 Spermophilus citellus (European suslik)","KY070177.1 Tamias ruficaudus simulans",0.935741
"MN935779.1 Spermophilus citellus (European suslik)","KY070171.1 Tamias amoenus canicaudus",0.936523
"MN935779.1 Spermophilus citellus (European suslik)","KY070168.1 Tamias ruficaudus ruficaudus",0.937774
"MN935779.1 Spermophilus citellus (European suslik)","KY070157.1 Tamias amoenus luteiventris",0.931676
"MN935779.1 Spermophilus citellus (European suslik)","NC_031210.1 Callospermophilus lateralis (Golden-mantled ground squirrel)",0.954659
"MN935779.1 Spermophilus citellus (European suslik)","NC_031209.1 Urocitellus richardsonii (Richardson's ground squirrel)",0.963415
"MN935779.1 Spermophilus citellus (European suslik)","NC_027278.1 Ictidomys tridecemlineatus (Thirteen-lined ground squirrel)",0.961851
"MN935779.1 Spermophilus citellus (European suslik)","NC_026706.1 Cynomys ludovicianus (Black-tailed prairie dog)",0.958412
"MN935779.1 Spermophilus citellus (European suslik)","NC_026705.1 Cynomys leucurus (White-tailed prairie dog)",0.960288
"MN935779.1 Spermophilus citellus (European suslik)","NC_025277.1 Tamias sibiricus (Siberian chipmunk)",0.932614
"MN935776.1 Marmota marmota marmota (Alpine marmot)","CM025523.1 Marmota monax (Woodchuck)",0.971754
"MN935776.1 Marmota marmota marmota (Alpine marmot)","NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)",0.965951
"MN935776.1 Marmota marmota marmota (Alpine marmot)","MK305281.1 Marmota himalayana (Himalayan marmot)",0.971859
"MN935776.1 Marmota marmota marmota (Alpine marmot)","NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)",0.967662
"MN935776.1 Marmota marmota marmota (Alpine marmot)","MG450794.1 Cynomys gunnisoni gunnisoni",0.952359
"MN935776.1 Marmota marmota marmota (Alpine marmot)","KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)",0.921486
"MN935776.1 Marmota marmota marmota (Alpine marmot)","KP708706.1 Spermophilus dauricus (Daurian ground squirrel)",0.960583
"MN935776.1 Marmota marmota marmota (Alpine marmot)","NC_032375.1 Tamias striatus (Eastern chipmunk)",0.929726
"MN935776.1 Marmota marmota marmota (Alpine marmot)","NC_032373.1 Tamias dorsalis (Cliff chipmunk)",0.927287
"MN935776.1 Marmota marmota marmota (Alpine marmot)","NC_032372.1 Tamias canipes (Gray-footed chipmunk)",0.931473
"MN935776.1 Marmota marmota marmota (Alpine marmot)","NC_032371.1 Tamias rufus (Hopi chipmunk)",0.930388
"MN935776.1 Marmota marmota marmota (Alpine marmot)","NC_032370.1 Tamias quadrivittatus (Colorado chipmunk)",0.929637
"MN935776.1 Marmota marmota marmota (Alpine marmot)","NC_032376.1 Tamias umbrinus (Uinta chipmunk)",0.931938
"MN935776.1 Marmota marmota marmota (Alpine marmot)","NC_032374.1 Tamias cinereicollis (Gray-collared chipmunk)",0.927287
"MN935776.1 Marmota marmota marmota (Alpine marmot)","KY070177.1 Tamias ruficaudus simulans",0.929678
"MN935776.1 Marmota marmota marmota (Alpine marmot)","KY070171.1 Tamias amoenus canicaudus",0.932866
"MN935776.1 Marmota marmota marmota (Alpine marmot)","KY070168.1 Tamias ruficaudus ruficaudus",0.932064
"MN935776.1 Marmota marmota marmota (Alpine marmot)","KY070157.1 Tamias amoenus luteiventris",0.930022
"MN935776.1 Marmota marmota marmota (Alpine marmot)","NC_031210.1 Callospermophilus lateralis (Golden-mantled ground squirrel)",0.950109
"MN935776.1 Marmota marmota marmota (Alpine marmot)","NC_031209.1 Urocitellus richardsonii (Richardson's ground squirrel)",0.955152
"MN935776.1 Marmota marmota marmota (Alpine marmot)","NC_027278.1 Ictidomys tridecemlineatus (Thirteen-lined ground squirrel)",0.952692
"MN935776.1 Marmota marmota marmota (Alpine marmot)","NC_026706.1 Cynomys ludovicianus (Black-tailed prairie dog)",0.950015
"MN935776.1 Marmota marmota marmota (Alpine marmot)","NC_026705.1 Cynomys leucurus (White-tailed prairie dog)",0.953203
"MN935776.1 Marmota marmota marmota (Alpine marmot)","NC_025277.1 Tamias sibiricus (Siberian chipmunk)",0.928083
"CM025523.1 Marmota monax (Woodchuck)","NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)",0.970194
"CM025523.1 Marmota monax (Woodchuck)","MK305281.1 Marmota himalayana (Himalayan marmot)",0.97191
"CM025523.1 Marmota monax (Woodchuck)","NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)",0.974095
"CM025523.1 Marmota monax (Woodchuck)","MG450794.1 Cynomys gunnisoni gunnisoni",0.956929
"CM025523.1 Marmota monax (Woodchuck)","KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)",0.924782
"CM025523.1 Marmota monax (Woodchuck)","KP708706.1 Spermophilus dauricus (Daurian ground squirrel)",0.957553
"CM025523.1 Marmota monax (Woodchuck)","NC_032375.1 Tamias striatus (Eastern chipmunk)",0.930556
"CM025523.1 Marmota monax (Woodchuck)","NC_032373.1 Tamias dorsalis (Cliff chipmunk)",0.933833
"CM025523.1 Marmota monax (Woodchuck)","NC_032372.1 Tamias canipes (Gray-footed chipmunk)",0.934457
"CM025523.1 Marmota monax (Woodchuck)","NC_032371.1 Tamias rufus (Hopi chipmunk)",0.934301
"CM025523.1 Marmota monax (Woodchuck)","NC_032370.1 Tamias quadrivittatus (Colorado chipmunk)",0.932116
"CM025523.1 Marmota monax (Woodchuck)","NC_032376.1 Tamias umbrinus (Uinta chipmunk)",0.932896
"CM025523.1 Marmota monax (Woodchuck)","NC_032374.1 Tamias cinereicollis (Gray-collared chipmunk)",0.933833
"CM025523.1 Marmota monax (Woodchuck)","KY070177.1 Tamias ruficaudus simulans",0.937578
"CM025523.1 Marmota monax (Woodchuck)","KY070171.1 Tamias amoenus canicaudus",0.937734
"CM025523.1 Marmota monax (Woodchuck)","KY070168.1 Tamias ruficaudus ruficaudus",0.938202
"CM025523.1 Marmota monax (Woodchuck)","KY070157.1 Tamias amoenus luteiventris",0.934708
"CM025523.1 Marmota monax (Woodchuck)","NC_031210.1 Callospermophilus lateralis (Golden-mantled ground squirrel)",0.949438
"CM025523.1 Marmota monax (Woodchuck)","NC_031209.1 Urocitellus richardsonii (Richardson's ground squirrel)",0.953496
"CM025523.1 Marmota monax (Woodchuck)","NC_027278.1 Ictidomys tridecemlineatus (Thirteen-lined ground squirrel)",0.954276
"CM025523.1 Marmota monax (Woodchuck)","NC_026706.1 Cynomys ludovicianus (Black-tailed prairie dog)",0.954744
